year,id_,age,educ,sex,race,rincome,ballot,rheight
2022,120,20,2 years of college,FEMALE,Black,.i:  Inapplicable,Ballot c,71
2022,121,36,12th grade,MALE,Other,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,122,82,2 years of college,MALE,White,.i:  Inapplicable,Ballot a,-100
2022,123,65,4 years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,124,64,9th grade,FEMALE,White,.i:  Inapplicable,Ballot a,-100
2022,125,69,12th grade,FEMALE,.i:  Inapplicable,$25000 OR MORE,Ballot c,65
2022,126,.n:  No answer,4 years of college,MALE,Other,.r:  Refused,Ballot b,-100
2022,127,65,4 years of college,FEMALE,White,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,128,52,12th grade,MALE,Other,$25000 OR MORE,Ballot b,-100
2022,129,61,4 years of college,MALE,White,$20000 - 24999,Ballot c,68
2022,130,31,6 years of college,FEMALE,White,$25000 OR MORE,Ballot c,63
2022,131,40,6 years of college,MALE,Other,$7000 TO 7999,Ballot c,72
2022,132,43,6 years of college,MALE,Other,$25000 OR MORE,Ballot b,-100
2022,133,26,5 years of college,MALE,Black,$25000 OR MORE,Ballot b,-100
2022,134,80,12th grade,MALE,White,.i:  Inapplicable,Ballot b,-100
2022,135,34,11th grade,FEMALE,.i:  Inapplicable,.i:  Inapplicable,Ballot b,-100
2022,136,26,12th grade,FEMALE,Other,.r:  Refused,Ballot b,-100
2022,137,56,2 years of college,FEMALE,Black,$15000 - 19999,Ballot b,-100
2022,138,32,12th grade,FEMALE,Black,.i:  Inapplicable,Ballot a,-100
2022,139,23,4 years of college,FEMALE,White,$25000 OR MORE,Ballot c,66
2022,140,34,4 years of college,FEMALE,White,$25000 OR MORE,Ballot b,-100
2022,141,.n:  No answer,7 years of college,FEMALE,Other,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,142,79,4 years of college,MALE,Black,.i:  Inapplicable,Ballot a,-100
2022,143,36,6 years of college,MALE,Black,$25000 OR MORE,Ballot a,-100
2022,144,.n:  No answer,4 years of college,FEMALE,Black,.i:  Inapplicable,Ballot b,-100
2022,145,69,2 years of college,MALE,Black,.i:  Inapplicable,Ballot c,71
2022,146,56,2 years of college,FEMALE,Black,.i:  Inapplicable,Ballot a,-100
2022,147,.n:  No answer,4 years of college,FEMALE,Other,.i:  Inapplicable,Ballot c,-97
2022,148,36,4 years of college,FEMALE,Black,$20000 - 24999,Ballot a,-100
2022,149,.n:  No answer,4 years of college,FEMALE,Black,.r:  Refused,Ballot a,-100
2022,150,29,6 years of college,MALE,Black,$25000 OR MORE,Ballot b,-100
2022,151,44,11th grade,FEMALE,Other,$25000 OR MORE,Ballot a,-100
2022,152,37,10th grade,MALE,Other,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,153,70,6 years of college,MALE,White,.i:  Inapplicable,Ballot c,70
2022,154,.n:  No answer,1 year of college,FEMALE,White,.i:  Inapplicable,Ballot c,-97
2022,155,62,12th grade,MALE,White,.i:  Inapplicable,Ballot b,-100
2022,156,24,4 years of college,FEMALE,White,$25000 OR MORE,Ballot b,-100
2022,157,83,12th grade,FEMALE,Other,.i:  Inapplicable,Ballot b,-100
2022,158,71,5 years of college,MALE,White,.i:  Inapplicable,Ballot a,-100
2022,159,68,4 years of college,MALE,White,$25000 OR MORE,Ballot a,-100
2022,160,.n:  No answer,12th grade,FEMALE,.i:  Inapplicable,.r:  Refused,Ballot c,60
2022,161,74,7 years of college,MALE,Other,$25000 OR MORE,Ballot c,67
2022,162,46,4 years of college,FEMALE,Black,$25000 OR MORE,Ballot b,-100
2022,163,48,5 years of college,MALE,Other,$25000 OR MORE,Ballot b,-100
2022,164,55,8 or more years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,165,46,12th grade,FEMALE,White,.i:  Inapplicable,Ballot c,59
2022,166,40,6 years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,167,63,4 years of college,FEMALE,White,.i:  Inapplicable,Ballot b,-100
2022,168,65,12th grade,FEMALE,White,$25000 OR MORE,Ballot c,66
2022,169,31,6 years of college,FEMALE,White,$25000 OR MORE,Ballot c,62
2022,170,39,1 year of college,MALE,White,$25000 OR MORE,Ballot c,71
