kinderage,ses,books,wicFk,black,hispanic,asian,other,female,wic,teenmom,thirtymom,bweight,zmathFk,zreadFk,zmath8,zread8
62,-0.13,20,1,0,0,0,0,1,1,0,0,139,0.38240760564804077,-0.07916717976331711,-0.13581162691116333,0.47845351696014404
71,0.01,100,0,0,0,0,0,0,0,0,0,123,1.1776498556137085,-0.15166357159614563,0.7280512452125549,0.9099216461181641
66,1.03,100,0,0,0,0,0,1,0,0,0,107,0.17267334461212158,0.35194462537765503,0.13301759958267212,1.1803722381591797
66,0.63,150,0,0,0,0,0,0,0,0,0,136,0.7756595611572266,0.2794482409954071,0.028909852728247643,0.20616048574447632
68,0.25,20,0,0,0,0,0,0,0,0,0,126,-0.6127375960350037,-0.7490336894989014,-0.7775781750679016,-2.2452142238616943
72,0.23,200,0,0,0,0,0,0,0,0,1,156,2.5736937522888184,1.0711090564727783,0.7766349911689758,0.46629422903060913
72,0.75,200,0,0,0,0,0,0,0,0,0,135,0.24367709457874298,-0.2618580460548401,-0.6443203687667847,-0.16561762988567352
72,-0.56,150,1,0,0,0,0,1,1,1,0,154,1.2573928833007812,0.3558111786842346,-0.33107155561447144,0.7717486023902893
63,0.19,100,1,0,0,0,0,0,1,0,0,131,-0.48493075370788574,0.16828732192516327,-0.35235610604286194,0.44050201773643494
67,-0.33,30,0,1,0,0,0,0,0,1,0,100,-0.6356773972511292,-0.5131788849830627,-2.2318477630615234,-2.8229620456695557
67,0.29,30,1,1,0,0,0,0,1,0,0,76,-0.13646619021892548,-0.07723389565944672,-0.4120442271232605,-1.8343795537948608
72,-0.24,15,1,1,0,0,0,0,1,0,0,114,-0.5308101177215576,-0.22802652418613434,-0.40973058342933655,-0.24225768446922302
68,-0.87,50,1,1,0,0,0,1,1,1,0,115,-0.2500721216201782,-0.7219685316085815,-2.0495433807373047,-1.5340837240219116
66,-0.57,200,1,1,0,0,0,1,1,1,0,115,2.0417113304138184,1.2441339492797852,0.8131880760192871,-0.22678181529045105
69,0.96,50,1,1,0,0,0,1,1,0,0,142,-0.5056857466697693,-0.20289424061775208,0.877503514289856,1.1004161834716797
67,0.29,30,1,1,0,0,0,0,1,0,0,94,-0.7623918056488037,0.6602962017059326,0.4768048822879791,0.8074893951416016
62,-0.52,8,1,0,0,1,0,1,1,0,0,128,-1.137073278427124,-1.060284972190857,-1.17503821849823,-0.398485004901886
67,-0.39,100,1,0,0,0,0,1,1,1,0,104,-0.7077735066413879,-0.9558902382850647,-1.1153497695922852,0.125835582613945
69,-0.65,20,0,1,0,0,0,0,0,1,0,137,-0.826841413974762,-0.5953413248062134,-1.0103167295455933,-0.498706579208374
71,-0.85,100,1,0,0,0,1,0,1,1,0,86,-0.9961580038070679,-0.9036927223205566,-2.893972873687744,-3.060987949371338
